German,English
sollen,should
ganze,whole
andere,other
getan,done
okay,OK
rein,purely
Diese,These
Moment,moment
bleiben,stay
brauchen,need
Weil,Because
Kinder,children
unter,under
Arbeit,job
Für,For
Problem,problem
dafür,for this
Herr,Mr
Haben,To have
wegen,because of
geht's,Let's go
liebe,love
genug,enough
dabei,while
bringen,bring
Ihre,Your
ne,ne
gegen,against
Weißt,Whisper
Sag,say
schnell,fast
nun,now
eines,one
brauche,need
Abend,Eve
hatten,had
Jahre,Years
Mach,Make up
Bruder,Brothers
Sache,Thing
hören,Listen
komm,come over
Sohn,son
seit,since
Morgen,tomorrow
drei,three
steht,stands
Scheiße,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,called
OK,OK
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,Go
Baby,infant
Dich,You
Sind,are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,tomorrow
sprechen,speak
Mir,Me
sofort,right away
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
Genau,Exactly
daran,to that
Junge,Boy
Minuten,Minute
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,wicked
Recht,Law
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,your
Ende,end
He,Head
Dinge,Things
Namen,Name
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,to get
Männer,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks
Freunde,Friends
Jungs,guys
halten,hold
warten,waiting
Glück,luck
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,to you
mache,make
Von,Of
Uhr,Clock
sehe,sight
Teufel,devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeden,every
könnten,could
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,make up
Gib,Give
vorbei,past
verstehe,understand
danke,thanks
drin,in it
Im,in the
Name,Surname
ganzen,whole
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,turn
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,Good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,latest
Job,job
verloren,lost
wurden,be
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damn it
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,Very
Hand,hand
darf,may
Dieser,This
Frauen,Women
Euch,To you
Idee,idea
runter,down
Macht,Makes
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,have
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Quality
gekommen,came
Bei,At
etwa,about
essen,eat
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,play
Geschichte,history
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,page
wenig,little
ruhig,calm
Frage,question
meinst,mean
überhaupt,at all
fahren,drive
Ganz,All
Gehen,Walk
Essen,eat
Ruhe,Quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,Come
Einen,One
ging,worn
Jahr,year
braucht,need
fast,nearly
neue,new
geh,go
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,Hour
musste,had to
Spiel,game
gewesen,been
gerne,with pleasure
finde,find
erzählt,tells
Tod,death
Ort,place
Chance,chance
bedeutet,mean
War,Was
sag,say
sagst,tell
fragen,ask
letzten,last
sogar,even
ersten,first
Sachen,stuff
Wahrheit,truth
einzige,only one
kurz,short
denen,to those
Kommen,Come
Spaß,fun
Nach,To
oben,above
Mama,mummy
schwer,heavy
Schule,school
je,ever
eben,just
Gesicht,face
bestimmt,certainly
treffen,to meet
niemand,nobody
Woche,week
Entschuldigung,sorry
Sorgen,To care
warte,wait
natürlich,Naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Ah
Sei,Be
Zimmer,room
hoch,high
unserer,our
Tage,Day
Teil,part
Wann,When
suchen,search
verlassen,leave
zeigen,demonstrate
wollten,wanted to
lässt,leaves
Wort,word
eins,one
zwischen,between
Woher,Where from
Schatz,sweetheart
Wissen,Knowledge
versuchen,to attempt
Können,Can
Kannst,Can
nett,kind
Zu,To
kriegen,Obtain
Geht,Go
Arsch,ass
kleinen,small
Hab,Have
weiss,White
erste,first
läuft,running
kommst,come
Freundin,girlfriend
Mensch,human
beiden,both
Ding,thing
niemals,No way
endlich,at last
Nimm,take
muß,got to
gehst,go
Heute,today
denkst,think
Herz,heart
Waffe,weapon
Soll,Should
tust,tu
Dollar,dollar
nehme,take
Schau,Show
holen,to fetch
oft,often
drauf,on it
anderes,other
Niemand,Nobody
unten,below
Wagen,dare
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,MRS
hättest,had
allen,all
Miss,Miss
ihrer,of their
gedacht,intended
Nummer,number
würdest,thought
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,Law
bringt,brings
Bett,bed
Lassen,To let
Eltern,parents
gefällt,like
Schuld,fault
eure,your
Plan,plan
Krieg,war
neuen,new
Klar,Clear
retten,rescue
guter,goods
während,while
ihrem,Yours
wären,be
Fehler,error
scheint,seems
Lasst,Leaves
gegeben,given
An,At
hör,hear
glücklich,happy
verdammt,damned
alt,old
Platz,place
darum,therefore
Vielen,Many
falsch,not correct
unseren,Our
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,Concern
Vor,In front
fest,firmly
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,ask
möglich,possible
irgendwie,somehow
Papa,father
lernen,learn
gestern,yesterday
hierher,here
Schiff,ship
vier,four
irgendwas,anything
Stimmt,Right
Menge,quantity
keiner,none
brauchst,need
Typen,Types
Dass,That
Stunde,hour
Szene,scene
Hölle,hell
einige,some
Deshalb,Therefore
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Be
Alter,Age
Captain,Captain
Aus,Out
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,Roger that
wann,when
alten,old
gibt's,there's
sondern,rather
guten,good
zwar,though
eigenen,own
New,New
Körper,body
hört,hearing
Zum,To the
gebe,giving
Kumpel,Dude
Hund,dog
nochmal,again
hab's,have it
früh,early
Hören,Listen
trinken,drink
besten,best
meines,my
schaffen,create
alte,old
Luft,air
Jemand,Someone
dürfen,allowed to
Meister,master
Erde,earth
Seit,since
Sicher,For sure
Hört,Hearing
Zukunft,future
kaum,barely
funktioniert,is working
voll,full
Bleib,Stay
reicht,enough
weh,sore
stellen,put
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,office
Wahl,choice
verlieren,to lose
Wochen,Weekly
Damit,In order to
Stück,piece
lieben,love
allem,all
getroffen,met
äh,uh
Am,At the
geschafft,made
tue,do
gefallen,like
Tja,Well
Boss,boss
überall,all over
Sieht,Look
passieren,happen
lustig,funny
Licht,light
gebracht,brought
nennen,call
Folge,episode
Gefühl,feeling
völlig,completely
denkt,thinks
Schlüssel,key
drüben,over there
Richtig,Correct
wieso,how so
Leuten,People
Buch,book
laufen,to run
spielt,play
früher,earlier
Sein,Be
krank,ill
gegangen,went
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,sky
froh,glad
leicht,light
direkt,directly
langsam,slowly
wolltest,wanted
erinnern,recall
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,best
welche,Which
genommen,taken
Arzt,doctor
unserem,ours
Idiot,idiot
Machen,Do
glaubst,believe
jede,each
Ohne,Without
groß,large
hattest,had
Äh,Uh
Jungen,Boys
Rest,rest
Unsere,Our
versuche,tries
Tagen,Days
nächste,next
Entschuldigen,To apologize
Doktor,doctor
spricht,speaks
könnt,can
hält,keep
Team,team
Verstanden,Roger that
kämpfen,fight
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,road
Mist,Damn
König,king
redest,talk
kleines,small
lebt,lives
erklären,to explain
worden,has been
Millionen,millions
Wiedersehen,Reunion
Onkel,uncle
kennst,know
sitzen,to sit
dies,this
weniger,Less
Kaffee,coffee
ernst,serious
wollt,want
tragen,wear
Zeug,Stuff
trotzdem,Nevertheless
Ihren,Their
kaufen,to buy
Liste,list
ändern,to change
Kampf,struggle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,ground
Wohin,Where
machte,bother
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,To take care of
kennt,knows
verletzt,injured
Habt,Have
Nachricht,message
Willkommen,welcome
vielen,many
hart,hard
lasse,laser
total,total
Gefängnis,jail
außer,except
Sicherheit,security
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,Interested
Sex,sex
sagten,told
ziehen,pull
Welche,Which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,class
Bild,picture
stark,strong
Dies,This
Eure,Your
zehn,ten
Sinn,sense
vorstellen,to introduce
Traum,dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,shorter
gestorben,died
Tages,Day
war's,It was
verschwinden,disappear
Kraft,force
gesprochen,spoken
heraus,out
genauso,just like that
wärst,be
Eins,one
damals,back then
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,therefore
Stelle,Job
halt,stop
erwartet,expect
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,Give
Entschuldige,Excuse me
Vergiss,Forget
rede,speech
führen,to lead
Bewegung,Move
höre,hear
Sonst,Otherwise
Geschäft,business
werdet,become
konnten,could
wartet,waits
Raus,Out
